Vote,Yearly_IncomeK,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Avg_Satisfaction_with_previous_vote,Avg_monthly_income_all_years,Overall_happiness_score,Avg_size_per_room,Weighted_education_rank,Most_Important_Issue@_0.0,Most_Important_Issue@_0.125,Most_Important_Issue@_0.25,Most_Important_Issue@_0.375,Most_Important_Issue@_0.5,Most_Important_Issue@_0.625,Most_Important_Issue@_0.75,Most_Important_Issue@_0.875,Most_Important_Issue@_1.0
Pinks,0.7905714285714287,0.09090909090909083,-0.21389198326635786,-1.3661510182492091,0.16883551914316716,0.3885509675419761,-0.3697339883020034,-0.7101782028997933,0,0,0,0,0,0,0,0,1
Whites,0.42200000000000004,0.36363636363636365,-1.1127792254110265,-0.5831860063413328,0.7727389247971231,0.48856935959056513,-0.13867439993375325,0.20528017570257304,0,0,1,0,0,0,0,0,0
Greens,0.025142857142857133,0.6363636363636362,-0.25860241900919567,0.25986701810831064,1.242513949668898,0.6272560381329695,0.2771459687851382,-0.7406866755946796,0,0,0,0,0,1,0,0,0
Turquoises,0.822857142857143,0.9090909090909092,-0.8652715175326224,-1.4347363254938525,-0.2544272919446027,0.5595851491044728,-0.18604715472533495,-0.10616171766203958,0,0,1,0,0,0,0,0,0
Khakis,0.14400000000000002,0.0,-0.302058100507923,0.007375975508561726,-1.1304326744358273,0.38491090670523864,-0.382709352576483,-0.5873794020683967,0,0,0,1,0,0,0,0,0
Reds,0.5771428571428572,0.18181818181818177,-0.9342572633252026,-0.30581002925458906,0.39610383345543465,0.5723198624818261,-0.19022528712490458,0.13230759202592646,0,0,0,0,0,0,0,1,0
Turquoises,0.3977142857142858,0.7272727272727273,-0.6474422691070352,-0.5315952885024416,1.0993050227311634,0.4834423256743461,-0.2487730266093037,-0.4058654004457748,0,1,0,0,0,0,0,0,0
Khakis,0.05314285714285716,0.0,-1.0580466938986575,0.20038595518817723,-0.9309509788514857,0.44184180266060247,0.025170479254479235,0.036190229898638404,0,0,0,1,0,0,0,0,0
Turquoises,0.0027142857142857246,0.7272727272727273,-0.5419750613426262,0.3075125634065807,-0.4456141562470086,0.5857286522797412,-0.19417180955816285,-0.45422352135676775,0,1,0,0,0,0,0,0,0
Turquoises,0.6742857142857144,0.4545454545454546,-0.7667369918387901,-1.119122522244166,-0.3188397661261607,0.42735681242472773,-0.032476711904377946,-0.28116342979590114,0,0,0,1,0,0,0,0,0
Greens,0.8387142857142857,0.5454545454545454,-0.34126255012709505,-1.46842202949454,-0.8004265104025511,0.6492041110075881,0.32825513578008614,-0.5763117593690571,0,0,0,1,0,0,0,0,0
Turquoises,0.5191428571428571,0.7272727272727273,-0.662570969218843,-0.7895488776968971,-0.20340893910947758,0.5414789323621223,-0.4335260624126495,-0.22565375701372137,0,0,1,0,0,0,0,0,0
Turquoises,0.5542857142857144,0.4545454545454546,-0.9673312174060018,-0.8642036811578806,-1.148631484906935,0.42844005309635447,-0.1515014543002766,0.26447731841028255,0,0,0,0,0,0,0,0,1
Browns,0.48642857142857143,0.5454545454545454,2.167227087891024,1.1007957188822355,1.5165885946532565,0.9827805426630047,2.2697556661581397,2.295235616446313,0,1,0,0,0,0,0,0,0
