Vote,Yearly_IncomeK,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Avg_Satisfaction_with_previous_vote,Avg_monthly_income_all_years,Overall_happiness_score,Avg_size_per_room,Weighted_education_rank,Most_Important_Issue@_0.0,Most_Important_Issue@_0.125,Most_Important_Issue@_0.25,Most_Important_Issue@_0.375,Most_Important_Issue@_0.5,Most_Important_Issue@_0.625,Most_Important_Issue@_0.75,Most_Important_Issue@_0.875,Most_Important_Issue@_1.0
Browns,0.6215714285714287,0.5454545454545454,1.7943038582989235,0.813708547849347,-0.7746372896636938,0.9923078181325378,1.715612232614225,2.0368346357671148,0,0,0,1,0,0,0,0,0
Oranges,0.9605714285714286,0.0,0.031700480867300124,-1.120336421487434,-0.6827413304499664,0.5644519954106522,1.0716316519029347,-0.9011121446781839,0,0,0,0,0,0,1,0,0
Reds,0.830857142857143,0.2727272727272727,-1.2426100365981538,-0.8447812932655924,-1.3061828567071756,0.5289356400518386,0.12943941696634786,0.12914354774462142,0,0,0,0,1,0,0,0,0
Browns,0.08557142857142863,0.7272727272727273,2.3100309100536793,-0.0035491176808506463,-1.087569717793345,0.017238034259776127,-2.141081230685626,-1.899919851433355,0,1,0,0,0,0,0,0,0
Blues,0.8982857142857144,0.4545454545454546,0.8614324811732664,-0.3810717823372067,3.6424330650405072,0.8635666876892977,-0.05226806697057374,-1.3011161594777183,0,0,0,1,0,0,0,0,0
Greys,0.10842857142857143,0.09090909090909083,-0.9199442928757402,0.6898908250360085,1.0300171817684562,0.432062647564817,0.6083286730607247,0.2751278152274245,0,0,0,0,1,0,0,0,0
Browns,0.9087142857142858,0.9090909090909092,-0.3630310469890651,0.20372417810716434,-0.7665764139449364,0.4154826055439991,-0.05514398845997769,-0.6961642934524869,0,1,0,0,0,0,0,0,0
Browns,0.04571428571428571,0.36363636363636365,0.5911427295619931,2.0370155102526994,-1.1389968318336017,0.2139849751611361,-0.13449784587707087,-1.2400402875684315,0,0,0,0,0,0,0,0,1
Khakis,0.9691428571428573,0.36363636363636365,-0.23535392121848311,-1.7454945317704669,-0.6435707914701836,0.3792586871993219,-0.5132099791805687,-0.5829514989263356,0,1,0,0,0,0,0,0,0
Khakis,0.28728571428571426,0.5454545454545454,-0.4014409511551492,-0.2970092597408959,-1.0361790059549405,0.416653817232688,-0.4089144580458977,-0.5213195809319638,0,0,0,1,0,0,0,0,0
Browns,0.8971428571428572,0.9090909090909092,2.123926885100525,0.22830563778334198,-0.2192748948251244,0.958715123663465,2.4020847185488026,2.222736154861377,0,0,1,0,0,0,0,0,0
Blues,0.011428571428571455,0.5454545454545454,0.42404687157210696,1.5028998432147684,-0.24472479064589758,0.168939500614466,1.4028917290556073,0.2707791430780474,0,0,0,1,0,0,0,0,0
Browns,0.8711428571428572,0.4545454545454546,2.4336297781357876,-0.0035491176808506463,-0.25833190299090797,1.0,2.651007278595894,2.3480864382380506,0,0,0,0,0,1,0,0,0
Turquoises,0.9422857142857144,0.2727272727272727,-1.2797606544913858,-1.6884412673368698,-0.6597599170587845,0.5134137622332245,0.05932778781771337,0.20384190426364007,0,0,0,1,0,0,0,0,0
Purples,0.30185714285714293,0.9090909090909092,0.6200361470703666,1.4928851744578076,1.2923534238954972,0.8296806478838228,1.5226279529666693,0.915868649383213,0,0,1,0,0,0,0,0,0
Turquoises,0.0842857142857143,0.8181818181818181,-0.9493427698268719,0.13422844643007015,0.2833622339941023,0.4711289117850482,-0.1337925359986599,-0.10413405660702849,0,0,1,0,0,0,0,0,0
Reds,0.9751428571428573,0.5454545454545454,-0.8115793370593021,-1.1512908521907688,-0.6666064305708528,0.6339422203752806,0.23628906777347528,0.1919019136131324,0,0,0,0,0,0,0,1,0
Pinks,0.7624285714285715,0.0,-0.406011597888488,-1.3063664805182589,-0.735776744798358,0.4970868311344624,0.8582842911215598,0.9852560281908633,0,0,0,1,0,0,0,0,0
Browns,0.7335714285714285,0.4545454545454546,2.1797904452472125,0.5757842961688143,-1.2289214264592232,0.9620625313457649,2.375987563139893,2.319218090340768,0,0,0,0,0,0,0,0,1
