Vote,Yearly_IncomeK,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Avg_Satisfaction_with_previous_vote,Avg_monthly_income_all_years,Overall_happiness_score,Avg_size_per_room,Weighted_education_rank,Most_Important_Issue@_0.0,Most_Important_Issue@_0.125,Most_Important_Issue@_0.25,Most_Important_Issue@_0.375,Most_Important_Issue@_0.5,Most_Important_Issue@_0.625,Most_Important_Issue@_0.75,Most_Important_Issue@_0.875,Most_Important_Issue@_1.0
Pinks,0.5244285714285715,0.5454545454545454,-0.24418480369736872,-0.8007774456971264,-0.9976809941428935,0.49177490727455486,0.8729841456244058,1.1643598306432272,0,1,0,0,0,0,0,0,0
Turquoises,0.16100000000000003,0.5454545454545454,-0.7190858337154744,-0.028737526978662494,-0.24472479064589758,0.5108898033593742,-0.3815422717197773,-0.22595779532229826,0,0,0,0,0,1,0,0,0
Greys,0.8282857142857143,0.18181818181818177,-0.8099308381268503,-0.8393187466708861,-0.014705546954114725,0.45200894089929805,-0.28839924784257703,0.5661976054041061,0,0,0,0,0,0,1,0,0
Browns,0.13771428571428568,0.5454545454545454,1.7493353169097086,1.8415777320865474,-0.5716264731158398,0.9235917067343405,1.9601617749169815,2.1115164937299116,0,0,1,0,0,0,0,0,0
Browns,0.45171428571428573,0.7272727272727273,2.1476526006616066,1.1745400979107674,0.20557051358816425,0.009111703494699598,-1.742116765892041,-1.9073085597215917,0,0,0,0,0,1,0,0,0
Greys,0.7837142857142858,0.09090909090909083,-0.8562977215414572,-0.7446346056959803,0.9892890365593937,0.5152310321247063,0.5299964489438741,-0.2165938773947427,0,0,0,0,0,0,1,0,0
Whites,0.10128571428571431,0.36363636363636365,-0.6898259525580015,0.09811494394284646,-1.042662137942803,0.43042855316400735,-0.5366390856980449,0.19885225681355073,0,0,1,0,0,0,0,0,0
Greys,0.5695714285714286,0.36363636363636365,-0.9848648654827777,-0.28972586428128777,-0.8174262063451535,0.40863488787351754,0.3013868028266433,0.15300930287578682,0,0,0,0,1,0,0,0,0
Khakis,0.9567142857142859,0.2727272727272727,-1.0988331537117009,-1.7190922232293875,0.6657260171132331,0.4357920991867381,0.06321608046066142,0.16603907387054903,0,0,1,0,0,0,0,0,0
Oranges,0.41214285714285714,0.18181818181818177,-0.08259894415340707,0.0447033772390533,-0.8560496350229142,0.500354003865764,-1.1900383303004292,0.6780352047897398,0,0,0,0,0,0,1,0,0
Oranges,0.821,0.0,-0.3228176894164623,-0.8238415313192188,-0.1506886528075052,0.649923445387358,-0.5541437286011872,0.738180287129092,0,0,0,0,0,0,1,0,0
Pinks,0.6948571428571428,0.0,-0.4960266162204384,-1.162822895001815,0.3451604606898208,0.4897213256002826,0.7922979243304193,0.918603282520418,0,0,0,1,0,0,0,0,0
Whites,0.3371428571428572,0.09090909090909083,-0.2648734163607591,-0.4029219687160312,1.1888236108971657,0.5160840286320377,-0.11998060134978542,-0.5792442869784182,0,0,0,1,0,0,0,0,0
Browns,0.44400000000000006,0.4545454545454546,1.8388176334331494,1.1909277376948864,-1.0273231053340381,0.9761662899382064,1.6185805136067635,-0.12836305693947786,0,0,0,0,0,0,0,0,1
