Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,Avg_lottary_expanses,Age_group,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Avg_size_per_room,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_education_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_government_satisfaction,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Most_Important_Issue,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Financial_agenda_matters,Num_of_kids_born_last_10_years,Overall_happiness_score
Pinks,5.0,499.8352993,47028.57492,Below_30,27936.092480000003,No,571.3701122,Yes,Female,By_16:00,0.9470051359999999,0.291225904,8534.0,387.5910927,54.45120588,3597.8264630000003,212.43813680000002,94.20016983,19.68733331,1.466,44744.12025,Maybe,79673.20721000001,7.72993668,282.2644278,82.75601116,166.61176640000002,70.0,Social,6.0,269.1640672,3.0,Motorcycle_or_truck,Industry_or_other,Yes,,388.62337210000004
Whites,6.0,686.8631568,113815.6963,Below_30,52659.06507,No,684.9667312000001,Yes,Female,By_16:00,0.691575347,0.22842179999999998,5954.0,434.3785462,81.30087536,5839.865027000001,322.3764061,31.31344835,20.84175007,4.046,54439.65535,No,247119.141,7.658189912,497.1107933999999,86.51280140000001,228.95438560000002,,Environment,9.0,66.66184386,2.0,Car,Industry_or_other,Yes,3.0,488.6299205
Greens,3.0,832.3516831000001,76327.89223,45_and_up,77266.26438,No,807.8810674,Yes,Female,After_16:00,0.24965239600000003,0.8849675459999999,3176.0,518.578368,12.67858546,3788.201533,352.0152543,83.43429894,22.77231582,6.824,60590.949660000006,No,75682.47473999999,6.948835764,275.10447969999996,64.54212975,277.450561,80.0,Healthcare,12.0,259.0916552,0.0,Public_or_other,Industry_or_other,Yes,0.0,627.3001765
Turquoises,7.0,368.75152660000003,52119.26294,45_and_up,15241.549219999999,Yes,704.527984,Yes,Female,By_16:00,0.953149538,0.11941036099999999,8760.0,424.7859966,14.8741645,5089.765661,649.6159502,69.33807994,20.61033713,1.24,54062.866879999994,Maybe,179792.4234,0.34713876,424.01936680000006,84.76966512,122.91717549999998,90.0,Environment,15.0,122.42062959999998,1.0,Foot_or_bicycle,Public_Sector,Yes,0.0,559.6373007
Khakis,1.0,97.45414946,10105.46693,Below_30,1097.741522,,570.0675747,Yes,Female,After_16:00,0.709724826,0.440795355,4008.0,384.96370010000004,55.49553635,3880.7647479999996,251.2693035,44.9584781,19.62049184,5.992000000000001,44940.14557,Maybe,96773.09007,9.728873209,311.0837348,14.425719199999998,32.48471649,60.0,Financial,5.0,249.30191549999998,0.0,Foot_or_bicycle,Services_or_Retail,No,0.0,384.9837423
Reds,1.0,570.2199095,91232.34619,30-45,36327.933880000004,Yes,715.7297259,Yes,Female,By_16:00,0.7950204259999999,0.8010887040000001,7040.0,423.939963,45.29016269,5647.730545,189.10739180000002,8.366990928,20.589802399999996,4.96,55239.46472999999,Maybe,230385.6597,9.328940543,479.9850619,71.12549776,190.0733032,50.0,Other,7.0,106.8794513,0.0,Foot_or_bicycle,Student_or_Unemployed,Yes,1.0,572.3705061000001
Turquoises,6.0,788.0001219999999,92900.68285,30-45,69266.46585,Yes,647.9961448,Yes,Female,After_16:00,0.72950181,0.725010197,5784.0,412.0845812,94.19068196,4360.996642,130.899895,15.03842154,20.29986653,4.216,50099.95357,Yes,125091.4862,0.657927652,353.682748,75.1734551,262.66670730000004,100.0,Education,13.0,171.4934221,2.0,Foot_or_bicycle,Public_Sector,Yes,3.0,483.5034937
Khakis,10.0,159.23329130000002,24279.23128,30-45,2880.32677,No,687.4967753,Yes,Male,By_16:00,0.66799044,0.026225257000000002,3372.0,467.5556358,90.96984151,5509.386743,647.4366211,74.73847901,21.62303484,6.627999999999999,55344.60079,Yes,209239.9608,0.653920346,457.42754709999997,82.83738138,53.07776377,60.0,Financial,5.0,78.99204369,1.0,Car,Hightech,Yes,0.0,441.90789680000006
Turquoises,10.0,309.54127969999996,35322.13883,30-45,10759.38085,No,707.9489711,Yes,Female,After_16:00,0.728138628,0.046976844000000004,3019.0,423.1408283,30.93532363,4269.618815,596.9163671,69.60479866,20.57038717,6.981,53143.82672,Maybe,117192.373,8.599710069,342.3337159,35.92958089,103.18042659999999,100.0,Education,13.0,195.25318090000002,2.0,Car,Services_or_Retail,Yes,0.0,585.7777081
Turquoises,7.0,348.80309289999997,44524.5642,Below_30,13644.44521,Yes,662.3015275,Yes,Male,After_16:00,0.517363827,0.9283158029999999,7720.0,455.8826068,47.67158444,4741.25226,163.9140523,95.73413462,21.35140761,2.28,52811.50283,Yes,146649.7104,,382.9487046,62.73997258,116.2676976,60.0,Financial,10.0,144.6185868,1.0,Foot_or_bicycle,Public_Sector,No,3.0,427.4246218
Greens,7.0,199.6564972,20876.16114,Below_30,4505.742929,No,832.0256982999999,Yes,Female,After_16:00,0.41099525600000003,0.702203005,8871.0,528.9275069,8.865092346,4194.666703,533.214221,96.91168293,22.99842401,1.129,62579.43038,Maybe,98395.87572000001,5.140955388,313.6811689,14.64592714,66.55216573,60.0,Financial,11.0,240.46989759999997,0.0,Public_or_other,Hightech,No,0.0,649.2456503999999
Turquoises,1.0,384.5518237,50757.77897,45_and_up,16569.30673,Yes,647.5706284,Yes,Male,By_16:00,0.515939629,0.30695876699999997,6634.0,374.67378110000004,73.63066613,4709.108706,945.5686386,70.52062617,19.35649196,3.366,49160.76068,Yes,156797.0831,6.570834036,395.9761144,51.90706223,128.1839412,90.0,Environment,13.0,168.08521330000002,2.0,Foot_or_bicycle,Hightech,Yes,0.0,541.533228
Turquoises,2.0,91.81800882,15639.77784,30-45,977.3334187999999,No,653.9572941,No,Male,By_16:00,0.255239157,0.05177682,6880.0,431.78118499999994,18.34936121,5973.598422,30.06693558,93.36051203,20.77934515,3.12,53085.23397,No,261124.6845,9.506953552,511.00360520000004,27.05495157,30.60600294,70.0,Social,10.0,99.42851761,2.0,Car,Student_or_Unemployed,Yes,1.0,428.5077342
Browns,10.0,917.2321343,301951.7756,30-45,93795.16495,Yes,1420.008197,No,Male,By_16:00,0.5718587039999999,,6405.0,922.0636083999999,70.3163265,11720.0931,344.087898,26.80890805,30.365500300000004,9.595,113158.2301,Yes,975347.0217,7.549962129,987.5965884999999,15.20116436,305.74404480000004,100.0,Education,,805.58497,1.0,Public_or_other,Hightech,Yes,0.0,982.7825817
Oranges,5.0,140.21214890000002,25795.015030000002,30-45,2241.12035,No,727.7996594,No,Male,After_16:00,0.231399143,0.138282885,7774.0,341.5860039,14.77116034,6202.3118030000005,204.11362590000002,68.2027512,18.48204545,4.226,53507.73743,No,304609.0407,1.344539097,551.9139795,54.70593399,46.73738297,50.0,Other,11.0,284.3529067,2.0,Motorcycle_or_truck,Industry_or_other,Yes,0.0,730.3617158
Turquoises,7.0,406.5286393,49294.03078,30-45,18508.346719999998,No,520.9772365,Yes,Male,By_16:00,0.243928205,0.124930035,8144.0,289.4971858,39.74971629,4216.673936,156.2728074,,17.01461683,1.8559999999999999,39650.266910000006,Yes,132327.1261,9.452385393,363.7679564,14.37877452,135.5095464,100.0,Education,13.0,256.0538951,3.0,Car,Student_or_Unemployed,Yes,0.0,448.10594739999993
Reds,10.0,58.40693853,7779.805112000001,Below_30,408.51014269999996,Yes,749.6202457999999,Yes,Male,By_16:00,0.9925723670000001,0.972355399,6622.0,470.0443449,14.37920218,4936.0891520000005,146.23948069999997,49.96987991,21.680506100000002,5.377999999999999,57581.28359,No,159680.1969,0.60796587,399.6000462,1.5190341980000002,19.46897951,40.0,Foreign_Affairs,8.0,127.83460600000001,3.0,Public_or_other,Student_or_Unemployed,No,0.0,573.2406615
