Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,Avg_lottary_expanses,Age_group,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Avg_size_per_room,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_education_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_government_satisfaction,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Most_Important_Issue,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Financial_agenda_matters,Num_of_kids_born_last_10_years,Overall_happiness_score
Browns,1.0,207.643375,64158.56261,45_and_up,4869.8557,No,1317.718851,No,Male,After_16:00,0.798309948,0.217206752,7351.0,809.8546309999999,18.72109419,10889.241109999999,396.237656,24.79176279,28.45794495,8.649,103369.6754,Maybe,859242.2077,7.089416496,926.9531853,98.000282,69.21445833,60.0,Financial,11.0,721.5724492,1.0,Foot_or_bicycle,Student_or_Unemployed,Yes,0.0,992.3087289999999
Oranges,10.0,236.1033973,18687.95184,Below_30,6282.569377000001,Yes,917.5062604,Yes,Female,After_16:00,0.802034059,0.143042286,9724.0,679.4544529,17.75825999,3733.455658,682.9835107000001,14.03993662,26.06634713,2.276,71376.66782999999,Maybe,56384.72279,4.816574373,237.4546752,82.99633176,78.70113242,30.0,Military,5.0,324.4913849,1.0,Motorcycle_or_truck,Industry_or_other,Yes,0.0,564.5035707000001
Reds,9.0,43.02461695,6873.075013,Below_30,230.02127940000003,Yes,752.2221885,Yes,Female,After_16:00,0.9190398759999999,0.901778057,8816.0,488.6691421,2.314151358,5769.763296,263.8427406,66.58403387,22.10586217,3.1839999999999997,59407.45657,No,229673.375,1.6516968,479.2425012,50.21656805,14.34153898,40.0,Foreign_Affairs,8.0,37.41342794,1.0,Car,Hightech,No,0.0,528.991421
Browns,8.0,110.72873419999999,112.47415020000001,Below_30,1409.2265320000001,Yes,35.00046107,Yes,Male,By_16:00,0.065096305,0.082172457,3599.0,28.90947589,53.88487747,88.29184149,970.0819849999999,71.70256749,5.376753285,,2763.713362,No,9.285970071,7.193610659,3.0472889710000004,20.97523636,36.90957808,100.0,Education,13.0,837.7559589,3.0,Car,Services_or_Retail,Yes,0.0,17.35440773
Blues,9.0,1575.602551,75407.7352,45_and_up,276371.1341,No,852.8368414999999,Yes,Female,By_16:00,0.976600847,0.103148097,9288.0,451.87503839999994,81.65278803,2339.538598,450.81977760000007,96.83227441,21.25735257,4.712,58453.248960000004,No,20614.886759999998,7.2055852389999995,143.5788521,,525.2008503999999,60.0,Financial,10.0,511.4142456999999,3.0,Car,Industry_or_other,Yes,1.0,863.5828434
Greys,7.0,,131207.2064,30-45,65552.88328,No,794.491117,No,Male,By_16:00,0.402912115,0.07380669,3759.0,585.6398368,66.71349164,6306.311078,699.7601225,11.09667202,24.19999663,8.241,65519.72803,Maybe,263685.4753,6.6892103060000005,513.5031405,53.88674922,255.5139318,40.0,Foreign_Affairs,6.0,110.10389170000002,0.0,Motorcycle_or_truck,Services_or_Retail,Yes,0.0,432.12989969999995
Browns,8.0,210.1398145,20002.040080000002,Below_30,4986.573454,No,642.4946633,Yes,Female,After_16:00,0.95211341,0.26521427,9361.0,451.2926906,93.88808783,3758.1185119999996,56.48493883,13.99094285,21.24365059,6.638999999999999,50515.51345,Maybe,81540.69459,0.249536554,285.553313,30.94765481,70.04660483,100.0,Education,15.0,235.56586869999998,2.0,Public_or_other,Student_or_Unemployed,Yes,0.0,415.551821
Browns,9.0,94.8018445,4990.134540999999,45_and_up,1040.1994730000001,No,514.5321174,Yes,Female,After_16:00,0.18638116899999999,0.332082867,3320.0,435.2242602,19.26291229,2449.5742960000002,532.3726174,91.34291071,20.86202915,12.68,42426.24981,No,24936.38215,9.169683568,157.9125776,69.36710069,31.60061483,70.0,Social,9.0,450.5230982,1.0,Foot_or_bicycle,Hightech,No,1.0,214.0780509
Khakis,5.0,248.2344466,25826.552359999998,Below_30,6939.449311,Yes,543.5630517999999,Yes,Male,After_16:00,0.16194672300000001,0.21565571100000003,9784.0,358.5385167,83.99827476,3838.306103,933.6004632000001,55.48940126,18.93511333,0.21600000000000003,42713.811180000004,Yes,97420.70908,8.143756748,312.122907,40.90967539,82.74481552,100.0,Education,9.0,264.32910019999997,2.0,Motorcycle_or_truck,Services_or_Retail,Yes,1.0,379.3321921
Khakis,2.0,126.6443503,13786.80494,30-45,1834.302723,No,582.7118252,Yes,Female,After_16:00,0.572943549,0.11800486,5011.0,379.6574059,4.213083745,4025.1861049999998,509.6395337,26.87449586,19.48479935,4.989,45509.20023,Maybe,106659.1531,1.316939099,326.5871294,58.16525908,42.21478343,60.0,Financial,,226.91284680000004,2.0,Motorcycle_or_truck,Hightech,No,1.0,416.722894
Browns,8.0,379.63816410000004,122823.3093,30-45,16150.450009999999,Yes,1430.391324,No,Female,By_16:00,0.281458167,0.659991928,9280.0,948.8590313,7.747500297,11603.53699,652.4458288,29.05343471,30.803555499999998,6.72,114459.175,Maybe,942029.2105,4.56353405,970.5818927000001,70.07581347,126.5460547,90.0,Environment,15.0,795.8302567000001,1.0,Public_or_other,Hightech,Yes,0.0,958.7200124
