Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,Avg_lottary_expanses,Age_group,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Avg_size_per_room,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_education_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_government_satisfaction,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Most_Important_Issue,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Financial_agenda_matters,Num_of_kids_born_last_10_years,Overall_happiness_score
Pinks,4.0,138.56711909999999,33357.47108,30-45,2189.616427,Yes,893.4441303,No,Female,By_16:00,0.248069735,0.7604887229999999,6671.0,639.2301496,35.662024100000004,,273.2358857,92.31724844,25.283001199999998,3.3289999999999997,74727.92575,No,521564.9165,1.418939119,722.1945142999999,75.17438768,46.18903969,100.0,Education,11.0,262.3396701,4.0,Foot_or_bicycle,Services_or_Retail,Yes,0.0,491.8350886
Turquoises,9.0,627.1287516,82761.08606,Below_30,43917.98414,No,641.7443577,Yes,Female,After_16:00,0.481496983,0.8667457040000001,4127.0,385.2000233,33.20493717,4729.4476509999995,323.3374895,87.18897495,19.62651327,5.872999999999999,49298.18038,Maybe,,9.98184823,395.9047605,70.1822964,,80.0,Healthcare,11.0,155.3534877,1.0,Foot_or_bicycle,Student_or_Unemployed,No,1.0,510.94772120000005
Greys,6.0,442.9929432,85913.09087999999,30-45,21962.41406,,647.8728355000001,No,Female,By_16:00,0.515391669,0.298588213,8798.0,404.0606338,85.8899792,6626.25622,817.7621868,26.39666956,20.10125951,3.202,52613.37824,Maybe,338506.9432,3.4226232210000003,581.8134952,35.08342165,147.6643144,30.0,Military,7.0,134.8878336,4.0,Car,Hightech,Yes,2.0,452.07383110000006
Browns,6.0,270.5154796,85165.49227999999,Below_30,8231.130127,No,1329.684693,No,Male,After_16:00,0.13156590199999998,0.708893597,3964.0,859.3736767999999,54.17936929,11163.54797,414.71945189999997,34.27214038,29.31507593,12.036,106048.8725,No,892042.5868,5.621405146,944.4800616,21.08326252,90.17182653,90.0,Environment,11.0,711.4418909,3.0,Car,Services_or_Retail,No,0.0,923.6007546
Browns,2.0,511.2120646000001,223.78371099999998,45_and_up,29217.93458,No,103.4723632,Yes,Male,After_16:00,0.6827526890000001,0.7971766770000001,6162.0,109.6961313,1.571998466,232.5247996,763.4413394,58.53245768,10.47359209,9.838,9010.283721,Yes,1.724635268,9.487498018,1.313253695,,170.4040215,80.0,Healthcare,13.0,801.1752098,1.0,Public_or_other,Hightech,Yes,1.0,9.229039242
Greys,10.0,753.928358,100046.8842,Below_30,63417.75045,No,810.2549031000001,Yes,Male,By_16:00,0.9432122690000001,0.87834991,8486.0,569.7782778,98.99346454,5120.580078,195.2370903,91.60363334,23.87002886,3.514,64201.63623,Yes,158485.4829,7.801409969,398.1023522,7.698832755,251.30945269999998,30.0,Military,6.0,124.4422554,3.0,Motorcycle_or_truck,Industry_or_other,Yes,0.0,515.2884359
Whites,10.0,124.63653529999999,20590.04883,Below_30,1777.575061,Yes,583.2231268999999,Yes,Male,By_16:00,0.451893451,0.156836143,3709.0,353.7943369,34.035126399999996,5663.611104,884.4622176000001,26.47408461,18.80942149,6.291,46630.193060000005,No,245621.5833,2.197119175,495.6022431,29.09927352,41.54551178,90.0,Environment,9.0,161.9451832,2.0,Car,Student_or_Unemployed,No,0.0,430.4959988
Greys,2.0,194.39172030000003,31416.519930000002,Below_30,4273.479563,No,723.9750296,Yes,Male,By_16:00,0.105090098,0.277892211,6987.0,523.4869152,34.04214145,5895.408715,442.3026552,46.79553637,22.87983643,5.013,59521.50555,Maybe,235073.2083,0.791020407,484.8434885,20.08517361,64.79724009,40.0,Foreign_Affairs,9.0,95.47851971,2.0,Foot_or_bicycle,Services_or_Retail,Yes,0.0,408.7049142
Khakis,1.0,653.7214412999999,106317.2041,Below_30,47711.4319,Yes,694.4531657000001,Yes,Female,By_16:00,0.182781485,0.536889565,9697.0,475.25952209999997,49.78840717,5829.533134,441.3331014,36.50225527,21.80044775,0.303,56339.84065,No,238047.7849,4.133703855,487.901409,22.63866886,217.9071471,90.0,Environment,8.0,69.80362894,3.0,Public_or_other,Services_or_Retail,Yes,1.0,435.8589097
Oranges,7.0,182.4301101,36976.17211,30-45,3768.6706,Yes,510.3508884,No,Male,By_16:00,0.134490699,0.28657343399999996,5885.0,221.48696549999997,72.12394406,6523.577416,500.89932419999997,42.04013005,14.88243816,6.115,39565.48606,Maybe,369737.3874,8.673750754,608.0603485,54.61955143,60.81003670000001,30.0,Military,7.0,298.7418953,1.0,Foot_or_bicycle,Hightech,No,0.0,500.4131693
Oranges,7.0,400.8792065,83139.0909,30-45,17999.64176,Yes,702.4248388,No,Male,By_16:00,0.966065527,0.88456188,8747.0,350.2498068,56.69511575,6922.255909,581.5656546,17.21703869,18.71496211,3.253,53546.16293,Maybe,387102.51399999997,4.023375313,622.1756296,85.62104669,133.6264022,30.0,Military,5.0,244.6251744,1.0,Motorcycle_or_truck,Public_Sector,No,1.0,649.9648996000001
Pinks,8.0,554.4428337999999,122812.5248,30-45,,Yes,871.9454697000001,No,Male,After_16:00,0.505327571,0.430714317,7864.0,622.8919277000001,60.20764264,,806.7182379,36.62361037,24.95780294,2.136,72393.15062999999,No,441584.9666,3.704805155,664.5185976,79.43131099,184.8142779,60.0,Financial,5.0,205.6044929,,Car,Student_or_Unemployed,No,2.0,489.7817501
Whites,7.0,815.7238764,85105.27202,45_and_up,74215.84601000001,Yes,580.4842882,Yes,Female,After_16:00,0.790057949,0.834072375,5360.0,,74.03969702,3776.8501509999996,676.8523008,68.31364927,17.98500389,4.64,43068.95982,Yes,97964.58184,2.0241270890000003,312.99294219999996,86.128946,271.9079588,60.0,Financial,6.0,257.6789186,1.0,Foot_or_bicycle,Industry_or_other,Yes,0.0,516.1413313999999
Browns,10.0,129.3870077,41989.73774,30-45,1913.2398640000001,No,1296.628964,No,Female,After_16:00,0.8718810570000001,0.512994751,6108.0,790.2065953,31.45960388,11316.26036,552.2048033,68.32351347,28.11061357,9.892000000000001,102219.3574,Maybe,947867.2011,2.14835664,,88.08818338,43.12900255,70.0,Social,10.0,731.6005573,3.0,Motorcycle_or_truck,Services_or_Retail,No,0.0,976.1691122000001
Greys,4.0,739.4064003999999,143892.6849,45_and_up,61003.33824,Yes,815.8516774,No,Male,By_16:00,0.28364702399999997,0.524586757,3880.0,604.9957923999999,66.50377067,7048.161968,409.0414275,12.92216945,24.59666222,8.12,68121.34603,Yes,340842.3342,6.0785521639999995,583.8170382999999,84.28240179,,40.0,Foreign_Affairs,10.0,153.4052868,2.0,Car,Hightech,No,1.0,425.94752080000006
Turquoises,3.0,,53353.668439999994,Below_30,15380.365909999999,Yes,724.9514101,Yes,Male,After_16:00,0.356422731,0.553051647,4631.0,446.0270342,59.60432659,5212.9488,824.70577,34.41230755,21.11935212,5.369,55922.31785,Yes,186701.3128,8.630979285,,81.20854481,123.4782881,70.0,Social,10.0,105.83797630000001,1.0,Motorcycle_or_truck,Industry_or_other,Yes,0.0,560.6362641
Oranges,9.0,,48754.82018,30-45,8098.445205,No,742.1810087,No,Female,By_16:00,0.04671971900000001,0.011587698,4981.0,335.69419639999995,39.15881054,6122.68098,803.0638673999999,86.40238005,18.321959399999997,7.019,53857.72519,Yes,297165.9087,0.968940468,545.1292587,50.22527601,89.43717366,30.0,Military,8.0,320.18900410000003,1.0,Motorcycle_or_truck,Industry_or_other,Yes,0.0,771.0866121
Khakis,7.0,523.0058976,56203.095839999994,,30577.13185,Yes,599.612037,Yes,Female,By_16:00,0.07258398099999999,0.943606292,5806.0,396.9846047,11.4378148,4017.8198060000004,467.9938699,66.00000889,19.92447251,4.194,46903.33418,No,103932.1267,1.757092997,322.3850597,45.57072467,174.33529919999998,80.0,Healthcare,7.0,220.29821940000002,2.0,,Student_or_Unemployed,No,0.0,420.17477369999995
Reds,6.0,420.1036596,81434.24124,Below_30,19759.71064,No,770.6762798999999,No,Male,By_16:00,0.20799052399999998,0.7525496779999999,9118.0,459.9883151000001,27.81246151,6735.272883,279.4935799,25.30742181,21.44733818,2.8819999999999997,60417.62519,No,338176.705,8.581206105,581.5296252999999,68.74711723,140.03455319999998,50.0,Other,8.0,132.9291044,2.0,Public_or_other,Services_or_Retail,No,0.0,597.0676676
Turquoises,7.0,850.5501002000001,115183.0726,Below_30,80675.23593,Yes,590.676924,Yes,Male,After_16:00,0.099653307,0.862877772,9708.0,344.22925299999997,43.40786615,4751.114167,47.62165458,31.24003708,18.55341621,0.292,45496.080689999995,Maybe,165051.7102,4.565110637,406.26556610000006,95.72659931,283.51670010000004,70.0,Social,11.0,182.8425136,1.0,Motorcycle_or_truck,Student_or_Unemployed,Yes,0.0,480.48807919999996
Reds,3.0,223.09349509999998,43404.690239999996,30-45,5614.443115,No,778.6936249,No,Male,By_16:00,0.9531091999999999,0.43844573,9394.0,488.5118773,79.17804921,6813.772633,779.5703982000001,85.88680823,22.102304800000002,2.6060000000000003,61914.033820000004,Maybe,340676.3746,3.081347866,583.6748878,40.82102184,74.36449836,40.0,Foreign_Affairs,8.0,104.37884009999999,2.0,Motorcycle_or_truck,Services_or_Retail,Yes,0.0,561.3308931
Oranges,10.0,107.3387578,6953.148881,45_and_up,1325.958356,No,731.4493159,Yes,Male,After_16:00,0.20306680300000002,,8072.0,525.8998331,79.92542440000001,2995.128158,944.2435178999999,2.078144532,22.93250604,3.928,56356.129420000005,Maybe,37765.25629,8.522234128,194.3328492,96.55172119,35.77958595,50.0,Other,7.0,307.5929287,3.0,Foot_or_bicycle,Hightech,Yes,0.0,477.4123623
Violets,7.0,167.6655481,308.4564587,45_and_up,3189.4147390000003,Yes,48.31864307,Yes,Male,After_16:00,0.080674353,0.922347433,7439.0,34.45439793,87.21172819,124.10018059999999,452.4322518,23.81563662,5.869786873,8.561,3621.034658,Yes,30.46088944,1.798416805,5.519138469,75.00104273,55.88851602,90.0,Environment,14.0,823.92462,5.0,Motorcycle_or_truck,Public_Sector,No,1.0,33.51554216
Turquoises,3.0,698.4248707,91341.51874,45_and_up,54442.50829,Yes,666.0704387,Yes,Male,After_16:00,0.23288247,0.145536252,9960.0,420.91263349999997,91.78164969,4765.2903049999995,915.9240404,15.65443277,20.51615543,0.04,51751.56448,Maybe,153935.7791,0.273285944,392.3465038,15.67507363,232.8082902,80.0,Healthcare,14.0,133.6407756,3.0,Foot_or_bicycle,Student_or_Unemployed,Yes,0.0,496.02883629999997
Khakis,4.0,242.68616749999998,22771.37182,30-45,6634.9593780000005,No,550.6681232999999,Yes,Female,By_16:00,0.533199877,0.234128686,7115.0,364.10176010000004,59.93826487,3543.119433,522.0757653,98.65041401,,2.885,42875.55734,No,79237.51594,4.0454056210000005,281.4915912,22.58388179,80.89538917,100.0,Education,9.0,279.9827285,1.0,Car,Services_or_Retail,No,0.0,389.6547602
Browns,10.0,433.70050180000004,135576.2783,Below_30,21054.136309999998,No,1349.362223,No,Female,After_16:00,0.08660665,0.614637719,6992.0,855.4137552000001,21.91342248,11088.931359999999,744.3497288,31.61558192,29.24745724,9.008,106718.48199999999,No,879488.319,7.496685006,937.8103854,65.01421845,144.5668339,100.0,Education,14.0,735.0043768999999,3.0,Car,Public_Sector,Yes,2.0,971.4176100999999
Turquoises,6.0,387.1754734,51858.78539,Below_30,16795.15263,Yes,685.7081315,Yes,Male,After_16:00,0.39133847299999996,0.695361675,8949.0,434.6592659,54.33404748,4887.557465999999,782.499064,16.5921323,20.84848354,1.051,53303.03799,Maybe,161462.4413,1.075746855,401.8238934,27.35576595,129.0584911,70.0,Social,13.0,118.2498976,3.0,Car,Services_or_Retail,No,3.0,508.66480559999997
Turquoises,9.0,514.6781456,71366.62246,Below_30,29614.18088,Yes,605.1396900000001,Yes,Male,By_16:00,0.631679318,0.25218353600000004,3433.0,361.4477037,94.37485747,4882.774144,369.8363858,39.39748206,19.01177803,6.567,46946.55674,No,173045.91100000002,2.01941164,415.9878736,33.9562072,171.5593819,100.0,Education,13.0,163.7319689,1.0,Motorcycle_or_truck,Services_or_Retail,No,1.0,476.4759386
Turquoises,8.0,796.5934804,110018.0269,30-45,70782.32816,No,662.6348583,Yes,Female,By_16:00,0.6686549970000001,0.71947898,5131.0,427.35796280000005,74.98233395,4998.034804,968.1888939999999,5.592900096,20.67263802,4.869,52114.93625,No,171670.9133,8.941594206,414.33188789999997,53.14476478,265.53116009999997,70.0,Social,13.0,115.48302890000001,5.0,Motorcycle_or_truck,Hightech,Yes,0.0,473.159006
Khakis,8.0,388.89342680000004,41886.81767,30-45,16943.86419,Yes,559.8376347,Yes,Male,By_16:00,0.6180659279999999,0.237034606,4069.0,366.3214601,68.89156259,3963.874007,,15.70846972,,5.931,43899.2661,Yes,104408.5433,2.538352576,323.1231086,71.7586102,129.6311423,90.0,Environment,8.0,245.0300273,1.0,Motorcycle_or_truck,Public_Sector,Yes,0.0,395.67201939999995
